id_odsp,date,country,ht,at,league,price,available_seats
65VwQlMJ/,2023-02-16,france,Bastia,Nice,F1,55,29817
8Iye3bh4/,2023-02-16,germany,Werder Bremen,SC Freiburg,D1,26,17656
8tGwez0p/,2023-02-16,germany,Fortuna Dusseldorf,SpVgg Greuther Furth,D1,60,6762
ALre9lCe/,2023-02-16,spain,Osasuna,Real Zaragoza,SP1,84,24508
GIZpWBJ8/,2023-02-16,spain,Granada,Barcelona,SP1,107,19218
GMknBAsq/,2023-02-16,spain,Malaga,Athletic Bilbao,SP1,86,21029
GvLDJnam/,2023-02-16,france,Toulouse,Troyes,F1,51,11474
hQmi2oUC/,2023-02-16,france,Montpellier,AS Nancy Lorraine,F1,48,13521
j1TBaGiT/,2023-02-16,germany,Hamburg SV,Borussia Monchengladbach,D1,120,23671
n3mn5KNi/,2023-02-16,germany,Bayer Leverkusen,FC Augsburg,D1,65,20341
Opdz6TUm/,2023-02-16,france,Lorient,Evian Thonon Gaillard,F1,39,19661
pdUsP8yQ/,2023-02-16,france,Brest,AC Ajaccio,F1,110,16837
xbP70dxN/,2023-02-16,germany,Mainz,Schalke 04,D1,47,23033
xSzsXi42/,2023-02-16,spain,Getafe,Celta Vigo,SP1,97,22184
Yaqr608o/,2023-02-16,germany,Borussia Dortmund,Eintracht Frankfurt,D1,88,6292
YBqrINEq/,2023-02-16,italy,Chievo Verona,Palermo,I1,87,763
2yev5mpf/,2023-02-17,france,Sochaux,Paris Saint-Germain,F1,52,21788
8Ua3P5M9/,2023-02-17,italy,US Pescara,Cagliari,I1,52,591
bs3KFjZR/,2023-02-17,spain,Espanyol,Real Betis,SP1,22,3136
CpTgUklL/,2023-02-17,spain,Real Madrid,Rayo Vallecano,SP1,41,9071
fRXjG1qd/,2023-02-17,italy,Napoli,Sampdoria,I1,118,14368
fZZ21xNG/,2023-02-17,germany,TSG Hoffenheim,VfB Stuttgart,D1,70,25633
Grya2I7A/,2023-02-17,germany,Nurnberg,Hannover 96,D1,23,24387
KCkq47a0/,2023-02-17,france,Bordeaux,Lyon,F1,50,5211
Kj4GGWJL/,2023-02-17,spain,Real Valladolid,Atletico Madrid,SP1,29,22110
lCsa88R1/,2023-02-17,spain,Valencia,Mallorca,SP1,99,16376
Q5f8OPyG/,2023-02-17,italy,Fiorentina,Internazionale,I1,66,10589
rsRYvoMd/,2023-02-17,italy,Genoa,Udinese,I1,49,9926
S4PuHKOu/,2023-02-17,england,Liverpool,Swansea,E0,50,7792
SdgjAUdk/,2023-02-17,spain,Real Sociedad,Levante,SP1,96,4147
Uw1aQo73/,2023-02-17,italy,Catania,Bologna,I1,39,9885
xlM9KSqs/,2023-02-17,france,Stade de Reims,St Etienne,F1,50,1321
zH1eRRic/,2023-02-17,italy,Torino,Atalanta,I1,70,28348
bJhGM36S/,2023-02-18,italy,Siena,Lazio,I1,31,3579
ETqQM7te/,2023-02-22,spain,Athletic Bilbao,Real Sociedad,SP1,95,4210
jXsVDrTO/,2023-02-22,france,Nice,Stade de Reims,F1,84,25606
xC4tFeiG/,2023-02-22,germany,SC Freiburg,Eintracht Frankfurt,D1,59,7098
2BBmWPrg/,2023-02-23,france,Valenciennes,Toulouse,F1,88,25712
4nYKXlmb/,2023-02-23,england,Norwich City,Everton,E0,75,10767
6TDQGpq6/,2023-02-23,france,Troyes,Bastia,F1,67,1222
8lhhQtmm/,2023-02-23,spain,Deportivo La Coruna,Real Madrid,SP1,109,14103
AesFKGzr/,2023-02-23,italy,Palermo,Genoa,I1,76,25900
b3AII6Eg/,2023-02-23,france,AC Ajaccio,Lille,F1,47,9387
C6EMHQTa/,2023-02-23,france,AS Nancy Lorraine,St Etienne,F1,49,26737
d2dYGHM3/,2023-02-23,germany,VfB Stuttgart,Nurnberg,D1,107,18528
fHjUARuo/,2023-02-23,england,Fulham,Stoke City,E0,62,9848
fmFyGyxA/,2023-02-23,germany,Hannover 96,Hamburg SV,D1,45,23659
G23pEF6M/,2023-02-23,germany,Mainz,VfL Wolfsburg,D1,72,5346
Iea2F7XT/,2023-02-23,england,Arsenal,Aston Villa,E0,66,9166
MgmYKoB7/,2023-02-23,spain,Real Zaragoza,Valencia,SP1,33,23199
nXEsffFj/,2023-02-23,germany,Bayern Munich,Werder Bremen,D1,47,19954
ObRGqVm8/,2023-02-23,spain,Mallorca,Getafe,SP1,113,12901
OKCqX5Tn/,2023-02-23,france,Stade Rennes,Sochaux,F1,41,14278
OlbQIwhi/,2023-02-23,germany,Schalke 04,Fortuna Dusseldorf,D1,55,6399
pKCUF4bC/,2023-02-23,france,Evian Thonon Gaillard,Montpellier,F1,112,22866
px8lDZLS/,2023-02-23,germany,FC Augsburg,TSG Hoffenheim,D1,95,19685
Q1MTVSHA/,2023-02-23,england,Reading,Wigan,E0,93,17508
rwXOW824/,2023-02-23,england,QPR,Manchester Utd,E0,30,28150
UcglRMXt/,2023-02-23,spain,Barcelona,Sevilla,SP1,30,2235
xxQXUnXG/,2023-02-23,england,West Brom,Sunderland,E0,36,11172
2BeOGYZ6/,2023-02-24,italy,Atalanta,AS Roma,I1,120,21170
2kQKrk3E/,2023-02-24,spain,Celta Vigo,Granada,SP1,42,8285
2ucUHc7c/,2023-02-24,germany,Borussia Monchengladbach,Borussia Dortmund,D1,113,26299
4dFswPj9/,2023-02-24,italy,Sampdoria,Chievo Verona,I1,92,14199
4zWCxS5P/,2023-02-24,france,Lyon,Lorient,F1,79,2521
67ScT93R/,2023-02-24,spain,Rayo Vallecano,Real Valladolid,SP1,111,124
8GEPOTBr/,2023-02-24,spain,Atletico Madrid,Espanyol,SP1,104,13399
CtqREODI/,2023-02-24,france,Bordeaux,Brest,F1,51,19629
dMUCZAIo/,2023-02-24,england,Manchester City,Chelsea,E0,78,3869
GEaSFhkD/,2023-02-24,italy,Juventus,Siena,I1,22,17792
IJwBvxSD/,2023-02-24,italy,Cagliari,Torino,I1,109,21981
lntJJzjl/,2023-02-24,italy,Internazionale,AC Milan,I1,72,22764
MXPxv5y3/,2023-02-24,italy,Parma,Catania,I1,21,16453
nofG8gUq/,2023-02-24,germany,SpVgg Greuther Furth,Bayer Leverkusen,D1,27,25447
tdNvYoEt/,2023-02-24,france,Paris Saint-Germain,Marseille,F1,54,13976
zDTGYUXi/,2023-02-24,england,Newcastle,Southampton,E0,47,19071
zwoMNmRl/,2023-02-24,spain,Real Betis,Malaga,SP1,62,4886
8jqULRe1/,2023-02-25,spain,Levante,Osasuna,SP1,65,2037
8ldKHEK0/,2023-02-25,italy,Lazio,US Pescara,I1,111,5224
UccGIf5f/,2023-02-25,italy,Udinese,Napoli,I1,117,16025
WbPyU6nN/,2023-02-25,england,West Ham,Tottenham,E0,89,22467
IaJoxq6F/,2023-02-26,italy,Bologna,Fiorentina,I1,36,9833
08IqA65l/,2023-03-01,germany,Eintracht Frankfurt,Borussia Monchengladbach,D1,25,7134
2PzcVXl0/,2023-03-01,italy,Napoli,Juventus,I1,21,23712
bc78R1cO/,2023-03-01,france,Montpellier,Stade Rennes,F1,41,16874
WSxIKxHO/,2023-03-01,spain,Getafe,Real Zaragoza,SP1,64,22563
4CqFsQGM/,2023-03-02,england,Wigan,Liverpool,E0,35,22032
4G7Ww0Hn/,2023-03-02,spain,Real Madrid,Barcelona,SP1,79,18214
6eOqGvvn/,2023-03-02,england,Swansea,Newcastle,E0,114,14043
AyFeU3D5/,2023-03-02,france,Lorient,Valenciennes,F1,72,4353
AyyRqqDh/,2023-03-02,france,Stade de Reims,Paris Saint-Germain,F1,65,19797
dGy7VGyc/,2023-03-02,germany,VfL Wolfsburg,Schalke 04,D1,89,27236
dtcbo8Hc/,2023-03-02,england,Southampton,QPR,E0,110,20131
GIi8Tf69/,2023-03-02,germany,Nurnberg,SC Freiburg,D1,33,25586
h040TNSB/,2023-03-02,france,Sochaux,AS Nancy Lorraine,F1,112,24462
hxvELI1I/,2023-03-02,spain,Valencia,Levante,SP1,44,17545
Ieo7qnnA/,2023-03-02,england,Sunderland,Fulham,E0,113,26125
jq68OpAp/,2023-03-02,england,Chelsea,West Brom,E0,48,27628
n5EuBnjr/,2023-03-02,germany,Hamburg SV,SpVgg Greuther Furth,D1,100,8191
OvuVr3Sb/,2023-03-02,france,Toulouse,Evian Thonon Gaillard,F1,108,10311
r76zwKWh/,2023-03-02,spain,Deportivo La Coruna,Rayo Vallecano,SP1,23,22997
rDmP6Xbd/,2023-03-02,germany,Bayer Leverkusen,VfB Stuttgart,D1,120,22147
rwgfnl2i/,2023-03-02,england,Manchester Utd,Norwich City,E0,118,16238
tGZ0Ui46/,2023-03-02,italy,AC Milan,Lazio,I1,48,12473
U9qL7Dqj/,2023-03-02,germany,Borussia Dortmund,Hannover 96,D1,74,27774
UZ4CN4Pj/,2023-03-02,england,Everton,Reading,E0,31,6815
v5n3pSW3/,2023-03-02,england,Stoke City,West Ham,E0,44,21946
WpGiVqba/,2023-03-02,france,St Etienne,Nice,F1,59,20472
xOxJo5rt/,2023-03-02,france,Bastia,AC Ajaccio,F1,50,28219
z1q9MbnC/,2023-03-02,spain,Osasuna,Athletic Bilbao,SP1,46,4472
z7zBUzi3/,2023-03-02,germany,Werder Bremen,FC Augsburg,D1,41,8085
2mo1OKHa/,2023-03-03,spain,Malaga,Atletico Madrid,SP1,34,8186
4z84SsrI/,2023-03-03,france,Lille,Bordeaux,F1,44,6664
82ygWDZg/,2023-03-03,italy,Catania,Internazionale,I1,86,19974
AHIkXgKm/,2023-03-03,italy,AS Roma,Genoa,I1,49,24405
biU5TBJC/,2023-03-03,italy,Torino,Palermo,I1,68,2770
dAp5NvX5/,2023-03-03,spain,Real Sociedad,Real Betis,SP1,40,7048
dAxFwdsK/,2023-03-03,italy,Siena,Atalanta,I1,22,9994
f9jCSELF/,2023-03-03,germany,TSG Hoffenheim,Bayern Munich,D1,64,6109
GEyNpPcn/,2023-03-03,france,Brest,Lyon,F1,81,15849
jDscP02g/,2023-03-03,spain,Espanyol,Real Valladolid,SP1,62,24470
joHiiFBJ/,2023-03-03,italy,US Pescara,Udinese,I1,59,25737
pWQaqMgP/,2023-03-03,spain,Granada,Mallorca,SP1,95,4996
QLpBr61G/,2023-03-03,england,Tottenham,Arsenal,E0,119,26982
QqsJxGdQ/,2023-03-03,italy,Bologna,Cagliari,I1,82,3519
rX7l9QKf/,2023-03-03,germany,Fortuna Dusseldorf,Mainz,D1,107,9497
ShTpYZ4s/,2023-03-03,italy,Fiorentina,Chievo Verona,I1,37,11580
xl6CQLCU/,2023-03-03,france,Marseille,Troyes,F1,42,13519
xrT9SVYI/,2023-03-03,italy,Sampdoria,Parma,I1,38,15217
AkOuTQ1T/,2023-03-04,england,Aston Villa,Manchester City,E0,56,7109
MiIRvt2t/,2023-03-04,spain,Sevilla,Celta Vigo,SP1,85,16569
0Qk9dMdb/,2023-03-08,france,Stade Rennes,St Etienne,F1,118,8242
dndWqX3g/,2023-03-08,italy,Genoa,AC Milan,I1,57,24010
dzYNNPZm/,2023-03-08,germany,FC Augsburg,Nurnberg,D1,73,19619
QkbiZyWH/,2023-03-08,spain,Real Betis,Osasuna,SP1,98,1601
4bd0brSo/,2023-03-09,france,Paris Saint-Germain,AS Nancy Lorraine,F1,115,13189
4QOmdPVF/,2023-03-09,england,Reading,Aston Villa,E0,20,3423
63UZsNs5/,2023-03-09,france,AC Ajaccio,Lorient,F1,106,14714
6u6pc5G9/,2023-03-09,england,QPR,Sunderland,E0,91,25682
CI6tbo13/,2023-03-09,england,Norwich City,Southampton,E0,103,1320
hKSst1CH/,2023-03-09,france,Evian Thonon Gaillard,Sochaux,F1,102,6632
jcBd74k7/,2023-03-09,germany,Schalke 04,Borussia Dortmund,D1,101,7179
jX5vxvna/,2023-03-09,spain,Rayo Vallecano,Espanyol,SP1,109,23510
MN6h8pz1/,2023-03-09,germany,Bayern Munich,Fortuna Dusseldorf,D1,111,542
pfTwsscB/,2023-03-09,france,Troyes,Stade de Reims,F1,55,2565
rke4c2sh/,2023-03-09,france,Brest,Toulouse,F1,20,5969
UmA06O4D/,2023-03-09,germany,Borussia Monchengladbach,Werder Bremen,D1,112,7045
UN4ryb15/,2023-03-09,spain,Real Valladolid,Malaga,SP1,120,2045
UypHkcGb/,2023-03-09,spain,Barcelona,Deportivo La Coruna,SP1,63,2038
vawJO5Ks/,2023-03-09,germany,Mainz,Bayer Leverkusen,D1,86,16528
vHlDetC4/,2023-03-09,france,Valenciennes,Lille,F1,76,22005
W4lqsVmC/,2023-03-09,italy,Udinese,AS Roma,I1,51,8776
xjiiToCQ/,2023-03-09,germany,SC Freiburg,VfL Wolfsburg,D1,65,28930
xUR9iJon/,2023-03-09,spain,Mallorca,Sevilla,SP1,113,1327
zRWRMqkf/,2023-03-09,germany,SpVgg Greuther Furth,TSG Hoffenheim,D1,68,15302
zVSmFbgh/,2023-03-09,england,West Brom,Swansea,E0,61,24562
4Iniu9IO/,2023-03-10,italy,Palermo,Siena,I1,90,20339
4lLejZQP/,2023-03-10,italy,Internazionale,Bologna,I1,52,29805
AVcOogZt/,2023-03-10,italy,Juventus,Catania,I1,73,24016
b3daXF0U/,2023-03-10,spain,Levante,Getafe,SP1,48,19591
CnfmzIGB/,2023-03-10,spain,Atletico Madrid,Real Sociedad,SP1,52,776
EZGjvusU/,2023-03-10,france,Nice,Montpellier,F1,70,21934
I1purBY5/,2023-03-10,italy,Atalanta,US Pescara,I1,24,3590
IJPkyOgj/,2023-03-10,england,Liverpool,Tottenham,E0,41,6781
je8IZbko/,2023-03-10,france,Lyon,Marseille,F1,67,21324
KCceYeoO/,2023-03-10,spain,Athletic Bilbao,Valencia,SP1,28,2275
lMdSpDlm/,2023-03-10,italy,Lazio,Fiorentina,I1,34,26812
QRmmtk3I/,2023-03-10,italy,Cagliari,Sampdoria,I1,87,6065
rTimURdK/,2023-03-10,germany,Hannover 96,Eintracht Frankfurt,D1,48,27170
tzWZ3heP/,2023-03-10,italy,Parma,Torino,I1,48,28025
WARouLRN/,2023-03-10,france,Bordeaux,Bastia,F1,111,27894
WhlqV7sE/,2023-03-10,germany,VfB Stuttgart,Hamburg SV,D1,61,8885
WjRDjw1h/,2023-03-10,spain,Celta Vigo,Real Madrid,SP1,31,16867
YR7xaRoc/,2023-03-10,england,Newcastle,Stoke City,E0,97,255
zwezqiJa/,2023-03-10,italy,Chievo Verona,Napoli,I1,33,20353
bwT5haWu/,2023-03-11,spain,Real Zaragoza,Granada,SP1,59,5312
2Bmsrra2/,2023-03-15,france,Marseille,AC Ajaccio,F1,23,23715
46OrJ1lJ/,2023-03-15,germany,VfL Wolfsburg,Fortuna Dusseldorf,D1,95,105
j7Mm3Gpb/,2023-03-15,spain,Deportivo La Coruna,Celta Vigo,SP1,80,26740
2e3dxPls/,2023-03-16,germany,TSG Hoffenheim,Mainz,D1,36,22304
Ae5j4dVi/,2023-03-16,spain,Real Madrid,Mallorca,SP1,99,11654
AyiktMTE/,2023-03-16,france,Stade de Reims,Stade Rennes,F1,99,24644
bHyYoFFN/,2023-03-16,spain,Valencia,Real Betis,SP1,85,14572
bwN0Zke2/,2023-03-16,france,Montpellier,Troyes,F1,98,6772
CMKlxhBq/,2023-03-16,france,Lorient,Brest,F1,57,22703
dEQTt5tQ/,2023-03-16,germany,Nurnberg,Schalke 04,D1,44,403
E3UYzFa7/,2023-03-16,england,Manchester Utd,Reading,E0,66,2697
ELRiEI8b/,2023-03-16,england,Swansea,Arsenal,E0,84,447
Gb70yq4m/,2023-03-16,germany,Hamburg SV,FC Augsburg,D1,76,8372
GEios2E8/,2023-03-16,france,Bastia,Lyon,F1,50,29243
INRPsoRJ/,2023-03-16,germany,Werder Bremen,SpVgg Greuther Furth,D1,66,13508
j9suDVXu/,2023-03-16,italy,Catania,Udinese,I1,63,13813
jDJhyCQk/,2023-03-16,france,Sochaux,Valenciennes,F1,99,21768
jiYPmyoB/,2023-03-16,spain,Real Sociedad,Real Valladolid,SP1,83,29289
KnOdzWud/,2023-03-16,france,Lille,Evian Thonon Gaillard,F1,99,16966
OEyMwHFl/,2023-03-16,england,Aston Villa,QPR,E0,111,10526
QFPvKsZC/,2023-03-16,germany,Bayer Leverkusen,Bayern Munich,D1,106,3939
S6YxzZED/,2023-03-16,england,Southampton,Liverpool,E0,24,8086
tAMKbIiE/,2023-03-16,england,Stoke City,West Brom,E0,29,29083
ttRxoZUT/,2023-03-16,spain,Getafe,Athletic Bilbao,SP1,88,13182
UmWVL340/,2023-03-16,germany,Borussia Dortmund,SC Freiburg,D1,102,15494
vVDMflIB/,2023-03-16,italy,Bologna,Juventus,I1,92,1010
WvuUyep1/,2023-03-16,england,Everton,Manchester City,E0,102,1634
0CxMddMQ/,2023-03-17,england,Tottenham,Fulham,E0,102,3320
0p2VhSnO/,2023-03-17,italy,AC Milan,Palermo,I1,88,2117
2LOmhGUs/,2023-03-17,england,Wigan,Newcastle,E0,87,23298
AL64z3Jg/,2023-03-17,germany,Eintracht Frankfurt,VfB Stuttgart,D1,64,24543
C0ZLlHV4/,2023-03-17,spain,Malaga,Espanyol,SP1,81,25735
Em6Zin2U/,2023-03-17,italy,AS Roma,Parma,I1,90,6213
hltQxyVf/,2023-03-17,england,Chelsea,West Ham,E0,70,6345
I1I4tgwo/,2023-03-17,spain,Granada,Levante,SP1,55,9198
ILCQg8XH/,2023-03-17,italy,Torino,Lazio,I1,113,19393
K0LOcx7K/,2023-03-17,england,Sunderland,Norwich City,E0,87,11604
KQxUne0H/,2023-03-17,spain,Osasuna,Atletico Madrid,SP1,74,13711
lSkgutqL/,2023-03-17,france,Toulouse,Bordeaux,F1,62,22269
ltL9cjYh/,2023-03-17,italy,US Pescara,Chievo Verona,I1,32,17949
rizzLNJ6/,2023-03-17,germany,Borussia Monchengladbach,Hannover 96,D1,65,25886
rqI1aC3t/,2023-03-17,italy,Napoli,Atalanta,I1,118,25689
UcLi2z04/,2023-03-17,spain,Barcelona,Rayo Vallecano,SP1,98,9083
W46n5xGo/,2023-03-17,spain,Sevilla,Real Zaragoza,SP1,24,709
W4AEdAma/,2023-03-17,italy,Fiorentina,Genoa,I1,58,12543
WO6KgKtH/,2023-03-17,france,St Etienne,Paris Saint-Germain,F1,73,24080
x6H5bWIn/,2023-03-17,italy,Siena,Cagliari,I1,95,21464
YwlHf0RA/,2023-03-17,france,AS Nancy Lorraine,Nice,F1,116,17448
lrvHfLr8/,2023-03-29,france,Paris Saint-Germain,Montpellier,F1,106,6447
2FVslMmg/,2023-03-30,germany,Fortuna Dusseldorf,Bayer Leverkusen,D1,54,26092
2RRPkaWq/,2023-03-30,italy,Parma,US Pescara,I1,23,16436
6m0DYtl6/,2023-03-30,germany,Schalke 04,TSG Hoffenheim,D1,98,2640
6RG6Swas/,2023-03-30,england,Wigan,Norwich City,E0,58,4327
8MJbQmID/,2023-03-30,england,Manchester City,Newcastle,E0,55,856
AcSPhaDK/,2023-03-30,france,Stade Rennes,AS Nancy Lorraine,F1,21,8437
AiVXmw1d/,2023-03-30,italy,Atalanta,Sampdoria,I1,71,17237
Cd9GCMwc/,2023-03-30,italy,Genoa,Siena,I1,22,28883
dhRWYuMD/,2023-03-30,england,Southampton,Chelsea,E0,55,29378
dMCuB92h/,2023-03-30,italy,Lazio,Catania,I1,54,16276
fkSZkrJt/,2023-03-30,germany,FC Augsburg,Hannover 96,D1,35,3240
GEqZEDqA/,2023-03-30,spain,Celta Vigo,Barcelona,SP1,71,13451
htt8fOAP/,2023-03-30,germany,Mainz,Werder Bremen,D1,63,16595
jy2PVvYO/,2023-03-30,germany,SC Freiburg,Borussia Monchengladbach,D1,96,24969
lC58ZMYa/,2023-03-30,germany,Bayern Munich,Hamburg SV,D1,27,20306
MXVTiJSQ/,2023-03-30,france,Valenciennes,Bastia,F1,53,26333
OKKe1fFA/,2023-03-30,spain,Rayo Vallecano,Malaga,SP1,60,5718
pvaHX03C/,2023-03-30,germany,VfB Stuttgart,Borussia Dortmund,D1,27,9401
Q14d7R1H/,2023-03-30,italy,Torino,Napoli,I1,86,17335
Q9hMYwMl/,2023-03-30,france,Evian Thonon Gaillard,Stade de Reims,F1,60,25006
r1oRGZEc/,2023-03-30,spain,Real Zaragoza,Real Madrid,SP1,83,24275
rwFi87nB/,2023-03-30,italy,Chievo Verona,AC Milan,I1,49,2405
U5PvXJjQ/,2023-03-30,england,West Ham,West Brom,E0,44,22937
UatqCkmn/,2023-03-30,italy,Udinese,Bologna,I1,43,14522
Uw7jv0bR/,2023-03-30,france,AC Ajaccio,Toulouse,F1,50,13034
UZAm9mX4/,2023-03-30,italy,Internazionale,Juventus,I1,23,27778
vDdQXcye/,2023-03-30,france,Bordeaux,Lorient,F1,102,2956
vsSsUVIl/,2023-03-30,england,Arsenal,Reading,E0,53,15656
vwhf9AaC/,2023-03-30,england,Swansea,Tottenham,E0,109,1765
W0WTlJoj/,2023-03-30,italy,Palermo,AS Roma,I1,49,28015
WngIZJ6r/,2023-03-30,france,Troyes,St Etienne,F1,32,14251
WQsNHFai/,2023-03-30,spain,Levante,Sevilla,SP1,76,11127
z9LjS9m1/,2023-03-30,england,Everton,Stoke City,E0,83,15595
zDBqATHb/,2023-03-30,italy,Cagliari,Fiorentina,I1,30,3809
zqQzYayK/,2023-03-30,england,Sunderland,Manchester Utd,E0,58,20071
0SpZVy67/,2023-03-31,france,Lyon,Sochaux,F1,77,12892
bwD8bhaT/,2023-03-31,spain,Atletico Madrid,Valencia,SP1,105,7229
KnE4aYqN/,2023-03-31,spain,Real Valladolid,Osasuna,SP1,113,7873
M5HnTkYf/,2023-03-31,england,Aston Villa,Liverpool,E0,38,6309
MynVWHj1/,2023-03-31,france,Nice,Marseille,F1,27,14951
OOWwk2Yn/,2023-03-31,germany,SpVgg Greuther Furth,Eintracht Frankfurt,D1,59,24225
SYxLgubE/,2023-03-31,france,Brest,Lille,F1,113,2109
v1bLWKII/,2023-03-31,germany,VfL Wolfsburg,Nurnberg,D1,46,8855
xOOa0EUG/,2023-03-31,spain,Espanyol,Real Sociedad,SP1,103,6526
xOpVFgU3/,2023-03-31,spain,Mallorca,Deportivo La Coruna,SP1,20,23510
jV4zfC7p/,2023-04-01,spain,Real Betis,Getafe,SP1,44,22124
UL3vgWMj/,2023-04-01,spain,Athletic Bilbao,Granada,SP1,73,11363
UVKfRT27/,2023-04-01,england,Fulham,QPR,E0,100,6347
Ae9IeU25/,2023-04-03,italy,Sampdoria,Internazionale,I1,116,18551
04fKg3D1/,2023-04-05,spain,Granada,Real Betis,SP1,56,14906
MeEGrFkD/,2023-04-05,france,Marseille,Bordeaux,F1,32,23106
SIE531mt/,2023-04-05,germany,TSG Hoffenheim,Fortuna Dusseldorf,D1,59,15053
2gWptcTt/,2023-04-06,england,West Brom,Arsenal,E0,81,16596
8hACqez7/,2023-04-06,france,Montpellier,Valenciennes,F1,56,18778
bsPjn0I5/,2023-04-06,germany,Borussia Monchengladbach,SpVgg Greuther Furth,D1,34,14114
byhY0d5s/,2023-04-06,france,Toulouse,Nice,F1,118,21882
C6vdqb2O/,2023-04-06,germany,Werder Bremen,Schalke 04,D1,36,29724
CGXcPaN2/,2023-04-06,italy,Bologna,Torino,I1,90,15125
dS565xcQ/,2023-04-06,france,Stade Rennes,Paris Saint-Germain,F1,89,26524
ERpEFpzL/,2023-04-06,spain,Barcelona,Mallorca,SP1,35,24931
h4OfoKXB/,2023-04-06,germany,Bayer Leverkusen,VfL Wolfsburg,D1,101,1112
hCd5H658/,2023-04-06,spain,Real Madrid,Levante,SP1,118,9086
M1sa8UEI/,2023-04-06,england,Norwich City,Swansea,E0,88,6544
O0ha7bSD/,2023-04-06,france,Bastia,Brest,F1,75,345
Op8E1uIh/,2023-04-06,germany,Eintracht Frankfurt,Bayern Munich,D1,38,22741
pAqG0Gp2/,2023-04-06,italy,Juventus,US Pescara,I1,79,21288
pvLnmt3a/,2023-04-06,germany,Borussia Dortmund,FC Augsburg,D1,87,23121
r9kEoJ5J/,2023-04-06,england,Stoke City,Aston Villa,E0,31,21447
tMI92L2n/,2023-04-06,germany,Hamburg SV,SC Freiburg,D1,22,14084
U51WMZSI/,2023-04-06,england,Reading,Southampton,E0,58,23643
vDIemwyr/,2023-04-06,france,AS Nancy Lorraine,Troyes,F1,57,15980
W2e9GQKE/,2023-04-06,spain,Deportivo La Coruna,Real Zaragoza,SP1,109,8817
YkvvEXbG/,2023-04-06,spain,Real Sociedad,Malaga,SP1,100,1754
zuC4oH5f/,2023-04-06,france,Sochaux,AC Ajaccio,F1,96,1451
2ii36IsK/,2023-04-07,france,Stade de Reims,Lyon,F1,53,14985
4x1BePrk/,2023-04-07,spain,Valencia,Real Valladolid,SP1,101,11403
6JpC1dVe/,2023-04-07,italy,Siena,Parma,I1,40,29330
AF17d5Tr/,2023-04-07,spain,Osasuna,Espanyol,SP1,60,19339
Aii33I0q/,2023-04-07,italy,Fiorentina,AC Milan,I1,111,15315
dpBS9KNF/,2023-04-07,italy,Udinese,Chievo Verona,I1,24,20496
EL5X8vwM/,2023-04-07,italy,Napoli,Genoa,I1,93,24886
EVA8pyL0/,2023-04-07,france,Lille,Lorient,F1,41,3846
I3Hancjl/,2023-04-07,france,St Etienne,Evian Thonon Gaillard,F1,32,25914
IgCOA089/,2023-04-07,italy,Catania,Cagliari,I1,119,27926
Iu5Ffqbe/,2023-04-07,spain,Getafe,Atletico Madrid,SP1,39,14226
IVcSNFDC/,2023-04-07,england,QPR,Wigan,E0,111,15996
jcw0rIHU/,2023-04-07,germany,Nurnberg,Mainz,D1,41,19935
lj6BRcEm/,2023-04-07,england,Chelsea,Sunderland,E0,44,18692
MalIpwLP/,2023-04-07,england,Tottenham,Everton,E0,109,27244
Ofe72xGk/,2023-04-07,italy,Sampdoria,Palermo,I1,37,656
OWCKBtg3/,2023-04-07,italy,Internazionale,Atalanta,I1,113,6460
St5FQHTg/,2023-04-07,england,Liverpool,West Ham,E0,54,1423
SUlIE4kR/,2023-04-07,spain,Celta Vigo,Rayo Vallecano,SP1,35,28804
WfNbpvmI/,2023-04-07,germany,Hannover 96,VfB Stuttgart,D1,84,23953
z78NOeb6/,2023-04-07,england,Newcastle,Fulham,E0,113,18288
dG9JPyq0/,2023-04-08,england,Manchester Utd,Manchester City,E0,94,28301
hC4y8bhS/,2023-04-08,italy,AS Roma,Lazio,I1,118,27743
vegOhNS7/,2023-04-08,spain,Sevilla,Athletic Bilbao,SP1,109,14363
lpsbtVop/,2023-04-12,germany,SC Freiburg,Hannover 96,D1,98,25078
QPW450CD/,2023-04-12,spain,Real Betis,Sevilla,SP1,47,8817
Yg6GDZlm/,2023-04-12,france,Valenciennes,St Etienne,F1,63,519
0rBnm1Kd/,2023-04-13,germany,SpVgg Greuther Furth,Borussia Dortmund,D1,97,1576
2y7I0aXb/,2023-04-13,germany,Bayern Munich,Nurnberg,D1,78,14047
6L9iT34K/,2023-04-13,spain,Levante,Deportivo La Coruna,SP1,110,26159
dKNLsA4o/,2023-04-13,england,Southampton,West Ham,E0,90,24378
f37CEFZt/,2023-04-13,france,Brest,Stade de Reims,F1,42,15588
f3osazzf/,2023-04-13,france,Troyes,Paris Saint-Germain,F1,84,6708
fFqwJQRp/,2023-04-13,england,Reading,Liverpool,E0,62,10227
hQaVccHH/,2023-04-13,germany,VfL Wolfsburg,TSG Hoffenheim,D1,51,19759
KSTd7Ms1/,2023-04-13,spain,Real Valladolid,Getafe,SP1,70,22402
lQpobfk0/,2023-04-13,france,Evian Thonon Gaillard,Stade Rennes,F1,90,10735
nZPAMc7L/,2023-04-13,italy,Atalanta,Fiorentina,I1,96,8286
O0zl9rDl/,2023-04-13,spain,Malaga,Osasuna,SP1,87,28192
phvfdYJC/,2023-04-13,france,Bordeaux,Montpellier,F1,94,15464
